file,pointer,navStyle,currentSource,navMode,fileName,pathOverride,confidence,note
lib/stac/tobank/flows/package/json/package_payment.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/package/json/package_payment.json,/child/body/child/child/children[12]/child/onPressed/actions[1],push,routeName=package_payment_success,dart,package_payment_success,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/package/json/package_payment_success.json,/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/profile/json/profile_about.json,/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/profile/json/profile_bank_info.json,/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/profile/json/profile_change_password.json,/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/profile/json/profile_contact.json,/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/profile/json/profile_customer_referrals.json,/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/profile/json/profile_destinations.json,/child/appBar/actions[0]/child/onPressed,pop,pop,,,,skip,no source / pop
lib/stac/tobank/flows/profile/json/profile_intro.json,/body/children[1]/child/children[9]/child/child/children[0]/child/children[0]/onTap,push,routeName=profile_bank_info,dart,profile_bank_info,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/profile/json/profile_intro.json,/body/children[1]/child/children[9]/child/child/children[0]/child/children[2]/onTap,push,routeName=profile_invite_friends,dart,profile_invite_friends,,auto,"routeName is registered dart key, address-equal"
lib/stac/tobank/flows/profile/json/profile_intro.json,/body/children[1]/child/children[9]/child/child/children[0]/child/children[4]/onTap,push,routeName=profile_destinations,dart,profile_destinations,,auto,"routeName is registered dart key, address-equal"
